Module Name,Test Case Name
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_ClassroomTimeSlotGridDisplaying2FilterOptions
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachAssignsSubstituteForCsSession
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachChangesAvailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachChangesAvailabilityToUnavailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachClassesList
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachMarkingUniqueAvailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachSchedules1on1Session
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachSearchesMemberListToCheckIfOnlyTwoRAPDMembersAreAssigned
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CoachsUpcomingSessionTop5UpcomingSessionsWithTheMostRecentOnTheTop
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CreateACoachToConductRAAndSetAnUniqueAvailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CreateANewCoachForHBMIGroupSessions
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CreateANewCoachForRAGroupSessions
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_CreateApproveAndActivateNewCoachQACoachHBMI1ForHBMI
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_DashboardClassroomStartedMembersWithOnboardingStatusMemberOnboarded
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_DashboardScheduledClassMembers
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_DefaultProviderHours
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_DisapprovedCoachAboveStillCanLogin
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_DisapprovedOpsadminDeactivatesTheOldCoach
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_InsufficientClasses
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_InsufficientClassMembersOnboardingStatusAndIsApprovedFlagReturnsNoValue
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_InsufficientClassroomSearchAndPagination
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_LoginAsMemberAndViewUpnextWidgetInDashboard
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_MembersList
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_MembersOnboardingStatusBeforeCRAllocationjobruns
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_MoveMemberToOtherClassByPA
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_MovingMembersFromScheduledClassroom
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_NewCoachMarksAvailabilityForTheScheduledClassSlot
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_NewCSCoachActivationViaEmailAndDefaultAvailability
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_OnboardingStatusAndIs_ApprovedFlagOfMembersInApprovedClass
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_OnboardingStatusAndIsApprovedFlagOfMembersInApprovedClass
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_OnboardingStatusOfMembersAfterAttendingGroup
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_OneOnOneForMemberWhoseClassroomHasNotStarted
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_OpsAdminCoachCreations
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_PAApprovesTheUnapprovedClasses
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_PARemovesGroupSessionApprovalForOldCoach
/Real Appeal/Coach/Scheduler,RA_Coach_Scheduler_PermanentSubstitutionOfAnApprovedClass
